"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25-191,,"March 20, 2025",,"Sensio Recalls Steam Espresso Machines Due to Burn and Laceration Hazards","Bella Pro Series and Cooks Steam Espresso machines","This recall involves the Bella Pro Series Steam Espresso Maker, Model 90195 and Cooks Steam Espresso Makers, Model 22395. The recalled espresso machines are black with stainless steel trim and measure about six inches wide and 12 inches high. The machines have “Bella Pro Series” or “Cooks” on the steaming chamber and the model number is identified as the “Item” number on a sticker under the machine.","The brew cup handle can forcefully eject during use, shattering the glass carafe and posing a burn and laceration hazard.",,,Refund,"About 12,300","The firm has received 18 reports of the handles ejecting, eight of which reported burn and/or laceration injuries.","Consumers should immediately stop using the recalled espresso machines and contact Sensio for a refund.","Sold At","JCPenney stores nationwide and online at BestBuy.com and JCPenney.com from August 2023 through January 2025 for between $40 and $60.","Sensio Inc., of New York",,,China,,
25-126,,"February 06, 2025",,"LG Recalls Electric Ranges Due to Fire Hazard","Slide-In and Freestanding Electric Ranges","This recall involves LG Slide-In Ranges, and Freestanding Ranges with front-mounted knobs.&nbsp;The following model and serial numbers are included in this recall. The model number is located on the ranges inside the oven door or storage drawer located on the bottom of the oven.&nbsp;The ranges were manufactured in Mexico and Korea.Model NumberSerial No. (From)Serial No. (To)LDE4411ST&nbsp;607KMXXXXXXX&nbsp;807KMXXXXXXX&nbsp;LDE4413ST&nbsp;506KMXXXXXXX&nbsp;408KMXXXXXXX&nbsp;LDE4413BD&nbsp;606KMXXXXXXX&nbsp;901KMXXXXXXX&nbsp;LSE4611ST607KMXXXXXXX206KMXXXXXXXLSE4611BD704KMXXXXXXX704KMXXXXXXXLSE4613ST&nbsp;510KMXXXXXXX&nbsp;106KMXXXXXXX&nbsp;LSE4613BD&nbsp;604KMXXXXXXX&nbsp;106KMXXXXXXX&nbsp;LSEL6337D&nbsp;102KMXXXXXXX&nbsp;304KMXXXXXXX&nbsp;LSEL6337F&nbsp;102KMXXXXXXX&nbsp;312KMXXXXXXX&nbsp;LSEL6331F&nbsp;201MMXXXXXXX&nbsp;312MMXXXXXXX&nbsp;LSEL6331F310KMXXXXXXX312KMXXXXXXXLSEL6333F&nbsp;107MMXXXXXXX&nbsp;311MMXXXXXXX&nbsp;LSEL6333F308KMXXXXXXX312KMXXXXXXXLSEL6333D&nbsp;107MMXXXXXXX&nbsp;312MMXXXXXXX&nbsp;LSEL6333D309KMXXXXXXX312KMXXXXXXXLSEL6335D&nbsp;102KMXXXXXXX&nbsp;312KMXXXXXXX&nbsp;LSEL6335F&nbsp;102KMXXXXXXX&nbsp;312KMXXXXXXX&nbsp;LTE4815BM&nbsp;802KMXXXXXXX&nbsp;001KMXXXXXXX&nbsp;LTE4815BD&nbsp;802KMXXXXXXX&nbsp;207KMXXXXXXX&nbsp;LTE4815ST&nbsp;801KMXXXXXXX&nbsp;205KMXXXXXXX&nbsp;LRE4215ST&nbsp;601KMXXXXXXX&nbsp;903KMXXXXXXX&nbsp;LTEL7337F206KMXXXXXXX312KMXXXXXXXFor more information on Range and Oven Safety, visit&nbsp;https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Fire-Safety-Information-Center.","Front-mounted knobs on the recalled ranges can be activated by accidental contact by humans or pets, posing a fire hazard.",,,Repair,"About 500,000","CPSC has received at least 86 reports of unintentional activation of the front-mounted knobs. These LG ranges have been involved in more than 28 fires. At least five fires caused extensive property damage totaling over $340,000. At least eight minor injuries have been reported, including burns, and there have been reports of three fires involving pet deaths.","Consumers should contact LG for a free warning label and placement instructions.&nbsp;The label reminds consumers to use the Lock Out/Control Lock function on the range control panel to disable activation of the heating elements when the range is not in use.&nbsp;View the LG instructional video regarding Control Lock/Lock Out feature at&nbsp;https://vimeo.com/1037322282.&nbsp;Consumers are cautioned to keep children and pets away from the knobs, to check the range knobs to ensure they are off before leaving home or going to bed, and not to leave objects on the range when the range is not in use.","Sold At","Best Buy, Costco, The Home Depot, Lowe’s, and other appliance stores nationwide and online at LG.com. Depending upon the model, the ranges were sold from 2015 through January 2025 for between $1,400 and $2,650.","LG Electronics USA Inc., of Englewood Cliffs, New Jersey","LG Electronics Inc., of Korea",,"Mexico and Korea",,
25-034,,"November 07, 2024",,"Wolf Appliance Recalls Dual Fuel Ranges with Infrared Griddles Due to Burn and Fire Hazards","Wolf Dual Fuel ranges with infrared griddles","This recall involves Wolf Dual Fuel ranges with infrared griddles. The range is stainless steel and was sold in models measuring 36 inches, 48 inches and 60 inches wide with an oven door panel in white, black or stainless steel. The serial and model numbers are printed on the rating plate underneath the top of the oven. The recalled ranges have serial numbers from 18517201 to 18868311 and from 10006001 to 10006009. Within the serial range, the following model numbers are included:NameModel36”&nbsp;Dual Fuel&nbsp;Range—4&nbsp;Burners and Infrared GriddleDF36450G/BK/PDF36450G/BK/P/LPDF36450G/S/PDF36450G/S/P/LPDF36450G/WH/P48”&nbsp;Dual&nbsp;Fuel&nbsp;Range—4 Burners&nbsp;and Infrared GriddleDF48450DG/BK/PDF48450DG/S/PDF48450DG/S/P/LPDF48450DG/WH/P48”&nbsp;Dual Fuel&nbsp;Range—4&nbsp;Burners, InfraredCharbroiler&nbsp;and&nbsp;Infrared&nbsp;GriddleDF48450CG/BK/PDF48450CG/BK/P/LPDF48450CG/S/PDF48450CG/S/P/LPDF48450CG/WH/P48”&nbsp;Dual&nbsp;Fuel&nbsp;Range—6&nbsp;Burners&nbsp;and&nbsp;Infrared GriddleDF48650G/BK/PDF48650G/BK/P/LPDF48650G/S/PDF48650G/S/P/LPDF48650G/WH/PDF48650G/WH/P/LP60” Dual Fuel Range—6 Burners and Infrared GriddleDF60650DG/BK/P &nbsp;DF60650DG/BK/P/LP &nbsp;DF60650DG/S/PDF60650DG/S/P/LP60” Dual Fuel Range—6 Burners, InfraredCharbroiler and Infrared GriddleDF60650CG/BK/PDF60650CG/S/PDF60650CG/S/P/LP","The range can short-circuit if liquids boil over or are spilled and turn on the griddle unexpectedly, posing a burn and fire hazard.",,,Repair,"About 44,000 (In addition, about 1,400 were sold in Canada)","The firm has received 36 reports of griddles turning on. No injuries have been reported.","Consumers should immediately stop using the recalled ranges and contact Wolf Appliance to schedule a free repair in their home.","Sold At","Home appliance stores nationwide from August 2020 through September 2024 for between $12,500 and $23,000.",,"Wolf Appliance Inc., of Madison, Wisconsin",,"United States",,
24-341,,"August 15, 2024",,"ALDI Recalls Ambiano Single Serve Coffee Makers Due to Burn Hazard","Ambiano Single Serve Coffee Makers","This recall involves the Ambiano Single Serve Coffee Maker. The coffee maker was sold in gray, blue, pink, and purple colors, and measures approximately L 11"", W 4.7"" and H 12.""&nbsp; Ambiano is printed on the side of the coffee maker. Model numbers and UPC Codes are located on the rating label on the bottom of the unit:&nbsp;Product NameUPC CodesModel NumbersAmbiano Single Serve Coffee Maker4061464174788, 4061464174801, 4061464174849, 4061464174825, 4061464174863708924708925","The recalled coffee makers can expel hot water from the top of the machine, posing a burn hazard.",,,Refund,"About 28,000","ALDI has received 25 reports of the recalled coffeemakers expelling hot water from the top of the machine, including three reports of burns.","Consumers should immediately stop using the recalled coffee makers. Consumers may return the unit to an ALDI store for a full cash refund of $49.99, plus applicable sales tax. Alternatively, consumers may receive a $75 ALDI electronic gift card when they visit&nbsp;www.recallrtr.com/aldicoffeemaker, register the recalled coffee maker, and receive instructions on how to cut the unplugged cord, dispose of the product, and upload photos of the coffee maker showing the model number, registration number, and cut cord.","Sold At","Aldi grocery stores in 38 states and the District of Columbia from July 2023 through September 2023 for about $50.","ALDI Inc., of Batavia, Illinois",,,China,,
24-334,,"August 08, 2024",,"SMEG USA Recalls Refrigerators Due to Injury Hazard","SMEG Refrigerators","This recall involves SMEG-branded, retro style refrigerators with freezer, with model numbers starting with FAB38U. The special-order refrigerators measure about 28 inches wide, 30 inches deep and 80 inches high, and were sold in black, cream, pastel blue, pastel green, red and white, with either left-opening or right-opening doors with handles. The refrigerators have three adjustable glass shelves and two drawers. The bottom freezer has a separate door and three drawers. “SMEG” is on the front of the refrigerator, and “Made in Italy”, the model, and serial numbers that begin with 2781 are printed on a white label inside of the refrigerator’s top door.","The refrigerator door can detach and fall off, posing an injury hazard.",,,Repair,"About 900","The firm has received nine reports of the refrigerator door falling off. No injuries have been reported.","Consumers should immediately stop using the recalled refrigerators, and contact SMEG USA to schedule a free repair by a certified service provider. Consumers will be asked to email a photo of both the refrigerator’s model number and the serial number to&nbsp;recall@smegusa.com.","Sold At","Independent kitchen and appliance stores nationwide and online at www.williams-sonoma.com, https://www.ajmadison.com and www.wayfair.com from September 2020 through January 2024 for about $4,300.","SMEG USA Inc., of New York",,,Italy,,
24-335,,"August 08, 2024",,"Samsung Recalls Slide-In Electric Ranges Due to Fire Hazard","Slide-in Electric Ranges","This recall involves Samsung Electric Slide-In Ranges with the model numbers below.The model number is located on the ranges on the inside upper left corner of the oven door or inside the storage bin located on the bottom of the oven.Recalled Model Numbers&nbsp;NE58K9430SS/AA&nbsp;NE58N9430SG/AA&nbsp;NE58R9431SG/AA&nbsp;NE58R9431SS/AA&nbsp;NE58R9431ST/AA&nbsp;NE58F9500SS/AA&nbsp;NE58K9500SG/AA&nbsp;NE58F9710WS/AA&nbsp;NE58K9850WS/AA&nbsp;NE58K9850WG/AA&nbsp;NE58K9852WG/AA&nbsp;NE58H9950WS/AA&nbsp;NE58R9311SS/AANE63T8111SG/AA&nbsp;NE63T8111SS/AA&nbsp;NE63T8311SG/AA&nbsp;NE63T8311SS/AA&nbsp;NE63BG8315SSAA&nbsp;NE63CB831512AA&nbsp;NE63BB851112AA&nbsp;NE63T8511SG/AA&nbsp;NE63T8511SS/AA&nbsp;NE63T8511ST/AA&nbsp;NE63A8711QN/AA&nbsp;NE63BB871112AA&nbsp;NE63T8711SG/AANE63T8711SS/AANE63T8711ST/AANE63T8751SG/AA&nbsp;NE63T8751SS/AA","Front-mounted knobs on the ranges can be activated by accidental contact by humans or pets, posing a fire hazard.",,,Repair,"About 1,120,905","Samsung has received over 300 reports of unintentional activation of the front-mounted knobs by humans or pets since 2013. These ranges have been involved in approximately 250 fires. At least 18 fires caused extensive property damage. Approximately 40 injuries have been reported, eight of which required medical attention, and there have been reports of seven fires involving pet deaths.","Consumers should contact Samsung to receive a free set of knob locks or covers compatible with their model of electric slide-in range to install.Consumers using the recalled ranges without knob locks or covers are cautioned to keep children and pets away from the knobs, to check the range knobs to ensure they are off before leaving the home or going to bed, and to not leave objects on the range when the range is not in use.Consumers with Wi-Fi enabled ranges can enable the “Cooktop On” notification on the Samsung SmartThings app to receive alerts on their smartphone when a cooktop burner is turned on.","Sold At","Best Buy, Costco, The Home Depot, Lowe’s and other appliance stores nationwide, and online at Samsung.com. Depending upon the model, the ranges were sold from May 2013 through August 2024 for between $1,250 and $3,050.",,"Samsung Electronics America Inc., of Ridgefield Park, N.J.",,Thailand,"Important Message from CPSC:","CPSC urges consumers to follow the following safety advice to avoid the risk of fire:Never place, leave, or store anything on the top of your range. Such items can ignite if the range is accidentally activated or left on. Fires can occur when items are left on the top surface of any range that is accidentally activated or left on.For more information on Range and Oven Safety, visit&nbsp;https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/Fire-Saf…;"
24-276,,"June 20, 2024",,"Vitamix Reannounces and Expands Recall of Ascent Series and Venturist Series 8-ounce and 20-ounce Blending Containers and Blade Bases Due to Laceration Hazard; Offers New Repair Kit Due to Additional Injuries","Vitamix Ascent® Series and Venturist® Series 8-ounce and 20-ounce Blending Containers and Blade Bases","This recall involves all Ascent and Venturist Series 8-ounce blending containers, 20-ounce blending containers, and blade bases, including those that were repaired as part of a previous recall in August 2018. The clear containers and black blade bases are included with certain Vitamix Venturist and Ascent Series blenders, such as the Venturist V1200, Ascent A2300, Ascent A2500, Ascent A3300, and Ascent A3500 blenders; and also sold separately, as sets, or bundles in various configurations. The Vitamix logo is printed on the blending container.","The containers can separate from the blade base, exposing the blades, posing a laceration hazard to consumers.",,,Repair,"About 569,000 (In August 2018, 105,000 of the 569,000 blending containers and blade bases were previously recalled) (In addition, about 121,950 were sold in Canada)","Vitamix has received 27 reports of lacerations, including 11 reports from the prior 2018 recall, when consumers’ hands came in contact with exposed blades.","All consumers, including consumers who participated in the 2018 recall, should immediately stop using the recalled 8-ounce and 20-ounce blending containers and blade bases, and contact Vitamix for a repair kit, consisting of a protective plastic shroud to attach over the blade base and additional instructional labels.","Sold At","Costco, Best Buy, Crate &amp; Barrel, Macy’s, Target, Williams Sonoma, Walmart and specialty and independent stores nationwide, and online at Vitamix.com, Amazon.com and QVC.com from April 2017 through May 2024 for between $30 and $990 for the blender and blending containers when sold with other products.",,"Vita-Mix Corporation, of Cleveland, Ohio",,"United States",,
24-235,,"May 16, 2024",,"Electrolux Group Reannounces Recall of Frigidaire and Kenmore Electric Ranges Due to Fire and Burn Hazards; Multiple Fires and Injuries Reported","Frigidaire and Kenmore Smooth-top Freestanding Electric Ranges","This recall reannouncement involves Frigidaire, Frigidaire Gallery, Frigidaire Professional, and Kenmore Elite smooth-top electric ranges. The smooth-top electric ranges have rear panel rotary knobs and digital displays. They were sold in the following colors: white, bisque, black and stainless steel. The brand name, model, and serial number for each unit are located on the frame of the drawer at the bottom of the unit when the drawer is opened.&nbsp;The following models and serial numbers are included in the recall.&nbsp;&nbsp;Frigidaire ModelsFrigidaire Serial NumbersModel NumbersFEFBZ90GC*FEFLMC55GC*FEFLZ87GC*GLEF396AB*GLEF396AQ*GLEF396AS*GLEF396CQ*GLEF396CS*GLEFM397DB*GLEFM397DQ*GLEFM397DS*GLEFM97FPB*GLEFM97FPW*GLEFM97GPB*GLEFM97GPW*LEEFM389FE*PLEF398AC*PLEF398CC*PLEF398DC*PLEFM399DC*PLEFMZ99EC*PLEFMZ99GC*PLEFZ398EC*PLEFZ398GC*&nbsp;&nbsp;&nbsp;Serial Number Range VF122xxxxx - VF936xxxxx&nbsp;Kenmore Elite ModelsKenmore Elite Serial NumbersModel Numbers790.990121*790.990131*790.990141*790.990191*&nbsp;&nbsp;Serial Number Range VF122xxxxx - VF334xxxxx","Depending on the model, the surface heating elements can: 1) turn on spontaneously without being switched on; 2) fail to turn off after being switched off; or 3) heat to different temperatures than selected. This poses fire and burn hazards to consumers.",,,"Refund, Repair","About 203,000 (The ranges were previously recalled in August 2009)","Since the recall was announced in August 2009, Electrolux has received at least 212 reports of the ranges behaving erratically, including 14 reports of fires and eight reports of injuries involving burns to hands or arms, as well as smoke inhalation.","Contact Electrolux or register online to participate in the recall. Based on the serial number, it will be determined if consumers have a range that can be repaired or not.&nbsp; &nbsp;Consumers with impacted ranges should contact Electrolux for steps to avoid a burn injury, including not leaving anything on the range when it is not in use. If the range is repairable, a free inspection and repair will be scheduled. If the range is not repairable, consumers will receive a refund in the form of a $50 electronic gift card and reimbursement of up to $60 for the haul-away fee for their recalled range, once they have submitted proof of purchase of a new range and the haul-away fee paid. Electrolux may reimburse haul-away fees over $60 when consumers provide receipts or other documentation showing paid haul-away fees.","Sold At","Sears and independent appliance stores nationwide from June 2001 through August 2009 for between $1,000 and $2,500.",,"Electrolux Home Products Inc., of Charlotte, North Carolina",,"United States",,
24-219,,"May 02, 2024",,"True Manufacturing Recalls Commercial Refrigerators with Secop Compressors Due to Fire Hazard","Commercial Refrigerators with Secop Compressors","This recall involves commercial refrigerators with Secop compressors with model number NLE11MN.&nbsp;The recalled Secop Compressors installed in True Commercial Refrigerators were sold through corporate channels to commercial customers and to the commercial food service companies.&nbsp;The recalled commercial refrigerators are both black and stainless steel in color, and have configurations with double, triple, and sliding doors. The model and serial numbers are printed on a label located inside the commercial refrigerator cabinet by the left door.&nbsp;The following refrigerator models and serial numbers are included in this recall:Refrigerator ModelFirst serial numberLast serial numberGDIM-49NT946697610040916GDM-45934419710010080GDM-47930029910010063GDM-47FC934430110010081GDM-47RL934288510049968GDM-49930145710009796GDM-49FC93434169994430GDM-49RL934755210049976GDM-69930219410049977GDM-69FC936870610042783GDM-72930385510048931GDM-72FC934633010048907T-49G97895259872836TSD-47936475210042789TSD-47G934288910049972&nbsp;&nbsp;","The recalled commercial refrigerators with Secop Compressors can fail in a manner causing the compressor to overheat, posing a fire hazard.",,,Repair,"About 29,200 (In addition, about 50 were sold in Mexico)","The firm has received 14 reports of fires resulting in property damage. No injuries have been reported.","Consumers should immediately stop using commercial refrigerators with Secop compressors with model number NLE11MN, and contact True Manufacturing for a free repair. The original Secop ePTC starter in the compressor with the RSCR motor configuration will be replaced with the CSIR motor configuration. Consumers can register their unit for retrofit at&nbsp;www.true-secopcompressor-retrofit.com or&nbsp;www.true-secopcompressor-recall.com,&nbsp;and an on-site service visit by a technician will be scheduled. True Manufacturing is contacting all known purchasers directly.","Sold At","Directly to commercial food service businesses by dealers and distributors from January 2018 through June 2020 for between $3,000 and $8,000.",,"Secop GmbH, of Germany (compressors); and True Manufacturing Co. Inc., of O’Fallon, Missouri (commercial refrigerators)",,"Slovakia and China (compressors); and United States (commercial refrigerators)",,
24-159,,"March 14, 2024",,"Best Buy Recalls Insignia® Air Fryers and Air Fryer Ovens Due to Fire, Burn and Laceration Hazards","Air Fryers and Air Fryer Ovens","This recall involves Insignia Air Fryers and Insignia Air Fryer Ovens, model numbers NS-AF34D2, NS-AF5DSS2, NS-AF5MSS2, NS-AF8DBD2, NS-AF10DBK2, and NS-AF10DSS2. The brand name INSIGNIA is on the top or front of each unit. A product rating label on the underside of each unit identifies the brand INSIGNIA and the model number. The air fryers and air fryer ovens have cooking chamber capacities ranging from about 3.4 to 10 quarts, and plastic or plastic and stainless-steel bodies in black and stainless-steel finishes.&nbsp;","The air fryers can overheat, causing the handles to melt or break, posing fire and burn hazards. Additionally, the air fryer ovens can overheat and the glass on the door can shatter, posing fire, burn and laceration hazards.",,,Refund,"About 187,400 (In addition, about 99,900 were sold in Canada) ","The firm has received 24 reports of overheating/melting or glass shattering, including six reports of air fryers catching on fire. No injuries or property damage have been reported.","Consumers should immediately stop using the recalled Insignia air fryers and air fryer ovens and visit&nbsp;https://www.recallrtr.com/airfryer for instructions on how to&nbsp;submit photos of the recalled unit(s), the model number, purchase receipt, and on the destruction of the unit.&nbsp; &nbsp;Consumers can receive a refund in the form of a refund check or a Best Buy store credit.&nbsp; A consumer will receive the amount on the purchase receipt, or they will receive the average sales price for the model if no receipt is provided.&nbsp;Consumers should not return the recalled air fryers or air fryer ovens to Best Buy stores. Best Buy has contacted all known purchasers directly.&nbsp;","Sold At","Best Buy stores nationwide and online at www.bestbuy.com, www.eBay.com, and third-party sellers from November 2021 through November 2023 for between $32 and $180.","Best Buy Purchasing LLC, of Richfield, Minnesota",,,China,,
